n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,il1_hits,il1_misses,dl1_hits,dl1_misses
2,16,2,l,64,40369883,14844749,19544194,20825689,8231243,6724890
2,16,4,l,128,40369883,14844749,21763116,18606767,9722215,5233918
2,16,8,l,256,40369883,14844749,23071024,17298859,11239888,3716245
2,16,16,l,512,40369883,14844749,24787005,15582878,12501300,2454833
2,16,32,l,1024,40369883,14844749,27670264,12699619,13177136,1778997
2,16,64,l,2048,40369883,14844749,30226317,10143566,13778006,1178127
2,16,128,l,4096,40369883,14844749,32084048,8285835,14330367,625766
2,16,256,l,8192,40369883,14844749,34949736,5420147,14532205,423928
2,16,512,l,16384,40369883,14844749,38152262,2217621,14696209,259924
2,16,1024,l,32768,40369883,14844749,38950664,1419219,14776795,179338
4,16,2,l,128,40369883,14844749,21826046,18543837,9469831,5486302
4,16,4,l,256,40369883,14844749,23192944,17176939,11119251,3836882
4,16,8,l,512,40369883,14844749,24820530,15549353,12456938,2499195
4,16,16,l,1024,40369883,14844749,27622187,12747696,13177849,1778284
4,16,32,l,2048,40369883,14844749,30250345,10119538,13774043,1182090
4,16,64,l,4096,40369883,14844749,32080034,8289849,14331242,624891
4,16,128,l,8192,40369883,14844749,34945483,5424400,14532223,423910
4,16,256,l,16384,40369883,14844749,38150826,2219057,14696301,259832
4,16,512,l,32768,40369883,14844749,38950098,1419785,14776804,179329
4,16,1024,l,65536,40369883,14844749,39620802,749081,14857426,98707
8,16,2,l,256,40369883,14844749,23332805,17037078,10891419,4064714
8,16,4,l,512,40369883,14844749,24982658,15387225,12336089,2620044
8,16,8,l,1024,40369883,14844749,27760773,12609110,13164068,1792065
8,16,16,l,2048,40369883,14844749,30280199,10089684,13770415,1185718
8,16,32,l,4096,40369883,14844749,32104390,8265493,14328589,627544
8,16,64,l,8192,40369883,14844749,34923900,5445983,14532668,423465
8,16,128,l,16384,40369883,14844749,38157534,2212349,14696063,260070
8,16,256,l,32768,40369883,14844749,38950912,1418971,14776533,179600
8,16,512,l,65536,40369883,14844749,39621484,748399,14857341,98792
8,16,1024,l,131072,40369883,14844749,40023601,346282,14912795,43338
16,16,2,l,512,40369883,14844749,25099106,15270777,12060445,2895688
16,16,4,l,1024,40369883,14844749,27574774,12795109,13078020,1878113
16,16,8,l,2048,40369883,14844749,30327943,10041940,13753688,1202445
16,16,16,l,4096,40369883,14844749,32065439,8304444,14319906,636227
16,16,32,l,8192,40369883,14844749,34861442,5508441,14532868,423265
16,16,64,l,16384,40369883,14844749,38159281,2210602,14695541,260592
16,16,128,l,32768,40369883,14844749,38952758,1417125,14776612,179521
16,16,256,l,65536,40369883,14844749,39621090,748793,14857279,98854
16,16,512,l,131072,40369883,14844749,40023735,346148,14912746,43387
16,16,1024,l,262144,40369883,14844749,40328587,41296,14927563,28570
32,16,2,l,1024,40369883,14844749,27356408,13013475,12894266,2061867
32,16,4,l,2048,40369883,14844749,30040316,10329567,13729814,1226319
32,16,8,l,4096,40369883,14844749,32054069,8315814,14300244,655889
32,16,16,l,8192,40369883,14844749,34762834,5607049,14529452,426681
32,16,32,l,16384,40369883,14844749,38110925,2258958,14693753,262380
32,16,64,l,32768,40369883,14844749,38954448,1415435,14776920,179213
32,16,128,l,65536,40369883,14844749,39621719,748164,14857160,98973
32,16,256,l,131072,40369883,14844749,40023885,345998,14912687,43446
32,16,512,l,262144,40369883,14844749,40328819,41064,14927540,28593
32,16,1024,l,524288,40369883,14844749,40343323,26560,14929630,26503
64,16,2,l,2048,40369883,14844749,29600999,10768884,13584739,1371394
64,16,4,l,4096,40369883,14844749,31936913,8432970,14247959,708174
64,16,8,l,8192,40369883,14844749,34785815,5584068,14523450,432683
64,16,16,l,16384,40369883,14844749,37942336,2427547,14691068,265065
64,16,32,l,32768,40369883,14844749,38954175,1415708,14777501,178632
64,16,64,l,65536,40369883,14844749,39620883,749000,14857144,98989
64,16,128,l,131072,40369883,14844749,40022891,346992,14912655,43478
64,16,256,l,262144,40369883,14844749,40328085,41798,14927511,28622
64,16,512,l,524288,40369883,14844749,40343323,26560,14929630,26503
64,16,1024,l,1048576,40369883,14844749,40343323,26560,14929630,26503
128,16,2,l,4096,40369883,14844749,31947062,8422821,14122869,833264
128,16,4,l,8192,40369883,14844749,34707231,5662652,14495868,460265
128,16,8,l,16384,40369883,14844749,37746904,2622979,14682599,273534
128,16,16,l,32768,40369883,14844749,38948101,1421782,14778355,177778
128,16,32,l,65536,40369883,14844749,39618447,751436,14856625,99508
128,16,64,l,131072,40369883,14844749,40022220,347663,14912492,43641
128,16,128,l,262144,40369883,14844749,40326019,43864,14927447,28686
128,16,256,l,524288,40369883,14844749,40343323,26560,14929630,26503
128,16,512,l,1048576,40369883,14844749,40343323,26560,14929630,26503
128,16,1024,l,2097152,40369883,14844749,40343323,26560,14929630,26503
256,16,2,l,8192,40369883,14844749,34122093,6247790,14418319,537814
256,16,4,l,16384,40369883,14844749,37214443,3155440,14666055,290078
256,16,8,l,32768,40369883,14844749,38866411,1503472,14777416,178717
256,16,16,l,65536,40369883,14844749,39586366,783517,14853944,102189
256,16,32,l,131072,40369883,14844749,40017444,352439,14912082,44051
256,16,64,l,262144,40369883,14844749,40309172,60711,14927301,28832
256,16,128,l,524288,40369883,14844749,40343323,26560,14929630,26503
256,16,256,l,1048576,40369883,14844749,40343323,26560,14929630,26503
256,16,512,l,2097152,40369883,14844749,40343323,26560,14929630,26503
256,16,1024,l,4194304,40369883,14844749,40343323,26560,14929630,26503
512,16,2,l,16384,40369883,14844749,36659099,3710784,14620860,335273
512,16,4,l,32768,40369883,14844749,38768696,1601187,14770511,185622
512,16,8,l,65536,40369883,14844749,39559525,810358,14852302,103831
512,16,16,l,131072,40369883,14844749,40008168,361715,14911053,45080
512,16,32,l,262144,40369883,14844749,40296726,73157,14927247,28886
512,16,64,l,524288,40369883,14844749,40343323,26560,14929630,26503
512,16,128,l,1048576,40369883,14844749,40343323,26560,14929630,26503
512,16,256,l,2097152,40369883,14844749,40343323,26560,14929630,26503
512,16,512,l,4194304,40369883,14844749,40343323,26560,14929630,26503
512,16,1024,l,8388608,40369883,14844749,40343323,26560,14929630,26503
1024,16,2,l,32768,40369883,14844749,38071279,2298604,14738995,217138
1024,16,4,l,65536,40369883,14844749,39449821,920062,14848087,108046
1024,16,8,l,131072,40369883,14844749,39992464,377419,14910278,45855
1024,16,16,l,262144,40369883,14844749,40282837,87046,14927178,28955
1024,16,32,l,524288,40369883,14844749,40343323,26560,14929630,26503
1024,16,64,l,1048576,40369883,14844749,40343323,26560,14929630,26503
1024,16,128,l,2097152,40369883,14844749,40343323,26560,14929630,26503
1024,16,256,l,4194304,40369883,14844749,40343323,26560,14929630,26503
1024,16,512,l,8388608,40369883,14844749,40343323,26560,14929630,26503
1024,16,1024,l,16777216,40369883,14844749,40343323,26560,14929630,26503
